step,perf/throughput,critic/vf_loss,actor/pg_loss,perf/max_memory_allocated_gb,critic/rewards/mean,critic/rewards/max,critic/rewards/min,timing_s/start_profile,timing_s/generate_sequences,timing_s/generation_timing/max,timing_s/generation_timing/min,timing_s/generation_timing/topk_ratio,timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/values,timing_s/adv,timing_s/update_critic,timing_s/update_actor,timing_s/step,timing_s/stop_profile,timing_s/testing,timing_s/save_checkpoint
1,2763.097770,0.341855,0.000507,32.831858,0.000000,0.000000,0.000000,0.000268,2.759224,2.763260,2.755188,0.500000,4.201706,0.036250,0.636163,1.239396,0.066431,2.246697,1.133586,9.589961,0.000072,,
2,2644.642228,0.297517,0.004362,32.831858,0.007812,1.000000,0.000000,0.000058,2.683914,2.698749,2.669080,0.500000,4.543671,0.032985,0.349442,1.237003,0.063466,2.188137,1.126427,9.567835,0.000060,,
3,2558.254113,0.178301,0.003072,32.831858,0.007812,1.000000,0.000000,0.000062,2.662506,2.696873,2.628140,0.500000,4.692244,0.032804,0.342696,1.242067,0.057993,2.202774,1.133645,9.730269,0.000077,,
4,2680.213738,0.210497,0.000278,32.831858,0.015625,1.000000,0.000000,0.000059,2.707135,2.722913,2.691358,0.500000,4.573677,0.033578,0.354401,1.239070,0.057221,2.200014,1.133755,9.617890,0.000069,,
5,2574.007750,0.115394,0.001704,32.831858,0.023438,1.000000,0.000000,0.000077,2.668813,2.699163,2.638464,0.500000,4.633761,0.037136,0.342627,1.238818,0.084352,2.190185,1.143228,9.714229,0.000071,,
6,2776.121480,0.099241,-0.002601,33.350192,0.007812,1.000000,0.000000,0.000064,2.766783,2.796052,2.737513,0.500000,4.614240,0.045714,0.362466,1.240080,0.064634,2.186546,1.150570,9.708509,0.000056,,
7,2612.258898,0.147496,-0.004145,33.350192,0.023438,1.000000,0.000000,0.000056,2.653670,2.656965,2.650375,0.500000,4.510998,0.033199,0.341021,1.236763,0.058197,2.185502,1.128605,9.521453,0.000057,,
8,2704.771127,0.092145,-0.005856,33.350192,0.015625,1.000000,0.000000,0.000064,2.701705,2.727015,2.676394,0.500000,4.546287,0.035435,0.355716,1.243016,0.058802,2.197906,1.152506,9.615971,0.000056,,
9,2631.040072,0.053924,-0.002374,33.350192,0.023438,1.000000,0.000000,0.000069,2.686362,2.731844,2.640880,0.500000,4.599879,0.033124,0.346348,1.240245,0.057694,2.183066,1.126145,9.612738,0.000062,,
10,2707.685345,0.045531,0.003222,33.350192,0.000000,0.000000,0.000000,0.000050,2.711832,2.728072,2.695590,0.500000,4.566842,0.033902,0.352313,1.238369,0.058206,2.184821,1.149896,9.613562,0.000059,,
11,2534.565475,0.025728,-0.000339,33.350192,0.007812,1.000000,0.000000,0.000054,2.607608,2.641486,2.573729,0.500000,4.502122,0.032159,0.335031,1.241440,0.057465,2.185436,1.122860,9.503207,0.000051,,
12,2585.875474,0.039295,-0.001629,33.350192,0.031250,1.000000,0.000000,0.000053,2.640071,2.690587,2.589555,0.500000,4.575703,0.032899,0.333100,1.238661,0.057783,2.188703,1.117705,9.572000,0.000054,,
13,2643.500276,0.021941,-0.000107,33.350192,0.023438,1.000000,0.000000,0.000059,2.674156,2.702511,2.645801,0.500000,4.542432,0.032684,0.346431,1.238265,0.057499,2.188270,1.136734,9.568374,0.000052,,
14,2658.270549,0.062772,-0.002696,33.350192,0.023438,1.000000,0.000000,0.000066,2.722792,2.736844,2.708740,0.500000,4.665969,0.033143,0.347756,1.241142,0.057700,2.194152,1.127939,9.693897,0.000058,,
15,2693.308271,0.019054,-0.008540,33.350192,0.015625,1.000000,0.000000,0.000048,2.731627,2.764912,2.698342,0.500000,4.617387,0.032907,0.349660,1.243707,0.057243,2.189918,1.136640,9.653370,0.000059,,
