step,perf/throughput,critic/vf_loss,actor/pg_loss,perf/max_memory_allocated_gb,critic/rewards/mean,critic/rewards/max,critic/rewards/min,timing_s/start_profile,timing_s/generate_sequences,timing_s/generation_timing/max,timing_s/generation_timing/min,timing_s/generation_timing/topk_ratio,timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/values,timing_s/adv,timing_s/update_critic,timing_s/update_actor,timing_s/step,timing_s/stop_profile,timing_s/testing,timing_s/save_checkpoint
1,1814.502690,0.504300,-0.003698,31.482251,0.007812,1.000000,0.000000,0.000342,2.158599,2.325010,1.852702,0.250000,3.861836,0.041178,0.502190,0.758542,0.066348,1.282384,0.732414,7.279405,0.000088,,
2,1621.501038,0.426041,0.000298,31.482251,0.015625,1.000000,0.000000,0.000057,2.168999,2.203860,2.115226,0.250000,4.738275,0.035505,0.215562,0.765303,0.061886,1.165040,0.680863,7.682542,0.000067,,
3,1707.037341,0.369085,0.002171,31.482251,0.015625,1.000000,0.000000,0.000065,2.186438,2.358761,2.090298,0.250000,4.451147,0.033085,0.213639,0.765970,0.058836,1.190280,0.698633,7.431150,0.000065,,
4,1772.563573,0.200524,-0.000955,31.482251,0.015625,1.000000,0.000000,0.000053,2.198027,2.320310,2.147872,0.250000,4.267864,0.037901,0.213742,0.755950,0.086425,1.195684,0.711141,7.299597,0.000053,,
5,1580.387950,0.908841,-0.009268,31.482251,0.031250,1.000000,0.000000,0.000055,2.142162,2.230142,2.024897,0.250000,4.835227,0.032057,0.214320,0.758081,0.066839,1.214727,0.664272,7.804571,0.000052,,
6,1814.783092,0.342144,-0.002598,32.225774,0.031250,1.000000,0.000000,0.000063,2.258167,2.375455,2.168072,0.250000,4.692539,0.036294,0.226240,0.632941,0.088450,1.193988,0.721553,7.611929,0.000059,,
7,1730.610100,0.151146,0.000730,32.225774,0.007812,1.000000,0.000000,0.000054,2.164153,2.215620,2.114706,0.250000,4.496719,0.033414,0.230473,0.643637,0.085508,1.191015,0.707644,7.407503,0.000070,,
8,1786.146484,0.104285,0.000113,32.225774,0.023438,1.000000,0.000000,0.000073,2.196581,2.298493,2.128010,0.250000,4.347371,0.039072,0.219523,0.656007,0.087064,1.190167,0.717344,7.288176,0.000054,,
9,1824.236850,0.070037,0.002872,32.225774,0.015625,1.000000,0.000000,0.000066,2.175140,2.203179,2.157191,0.250000,4.242710,0.034162,0.217127,0.628140,0.057978,1.221258,0.723164,7.143535,0.000080,,
10,1748.385409,0.046564,0.003831,32.225774,0.015625,1.000000,0.000000,0.000062,2.194379,2.278959,2.148778,0.250000,4.373350,0.032927,0.222316,0.753340,0.058453,1.186090,0.694439,7.339772,0.000052,,
11,1799.074537,0.031068,-0.001214,32.225774,0.007812,1.000000,0.000000,0.000071,2.166126,2.188408,2.132619,0.250000,4.239235,0.033349,0.217838,0.757999,0.059046,1.190193,0.730925,7.247615,0.000052,,
12,1762.653544,0.039960,-0.002458,32.225774,0.023438,1.000000,0.000000,0.000049,2.184676,2.219913,2.149309,0.250000,4.309176,0.032792,0.218280,0.759669,0.057886,1.181192,0.697013,7.275111,0.000051,,
13,1728.758829,0.021134,0.004720,32.225774,0.015625,1.000000,0.000000,0.000049,2.200478,2.334545,2.137999,0.250000,4.398833,0.032892,0.239575,0.765834,0.058109,1.292222,0.714432,7.520858,0.000052,,
14,1862.024828,0.018966,-0.007569,32.225774,0.000000,0.000000,0.000000,0.000062,2.231687,2.305455,2.179906,0.250000,4.274521,0.034026,0.230659,0.759128,0.058730,1.193409,0.714459,7.284006,0.000051,,
