step,perf/throughput,critic/vf_loss,actor/pg_loss,perf/max_memory_allocated_gb,critic/rewards/mean,critic/rewards/max,critic/rewards/min,timing_s/start_profile,timing_s/generate_sequences,timing_s/generation_timing/max,timing_s/generation_timing/min,timing_s/generation_timing/topk_ratio,timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/values,timing_s/adv,timing_s/update_critic,timing_s/update_actor,timing_s/step,timing_s/stop_profile,timing_s/testing,timing_s/save_checkpoint
1,2763.106204,0.506008,0.004543,34.806468,0.000000,0.000000,0.000000,0.000282,2.755640,2.757734,2.753546,0.500000,4.180260,0.040578,0.633447,1.236970,0.062887,2.245888,1.143115,9.589932,0.000056,,
2,2613.276374,0.448719,0.005338,34.806468,0.015625,1.000000,0.000000,0.000056,2.681965,2.731126,2.632804,0.500000,4.593436,0.037653,0.344578,1.236433,0.086920,2.200140,1.111397,9.654738,0.000061,,
3,2643.743545,0.276539,0.006912,34.806468,0.023438,1.000000,0.000000,0.000061,2.688931,2.735996,2.641866,0.500000,4.568690,0.034866,0.345849,1.238754,0.057486,2.179430,1.123298,9.575248,0.000065,,
4,2663.737114,0.214994,-0.000643,34.806468,0.000000,0.000000,0.000000,0.000056,2.696639,2.723327,2.669950,0.500000,4.596420,0.037369,0.346170,1.242965,0.057137,2.181044,1.113398,9.618629,0.000054,,
5,2605.484440,0.131402,0.001174,34.806468,0.000000,0.000000,0.000000,0.000061,2.642885,2.652039,2.633730,0.500000,4.483705,0.031879,0.330198,1.235598,0.057469,2.179835,1.104076,9.449490,0.000063,,
6,2780.030606,0.124814,-0.002019,35.072903,0.015625,1.000000,0.000000,0.000068,2.757666,2.823081,2.692252,0.500000,4.639399,0.032897,0.356633,1.217818,0.057725,2.183148,1.141026,9.654930,0.000058,,
7,2694.098405,0.076441,-0.003932,35.072903,0.023438,1.000000,0.000000,0.000058,2.701384,2.728406,2.674361,0.500000,4.564059,0.032336,0.347453,1.215677,0.056730,2.181052,1.131937,9.555145,0.000053,,
8,2690.423647,0.063480,-0.001155,35.072903,0.031250,1.000000,0.000000,0.000063,2.689302,2.759686,2.618918,0.500000,4.595936,0.032807,0.349305,1.221567,0.056192,2.180858,1.136490,9.599418,0.000060,,
9,2700.606862,0.044987,0.000581,35.101962,0.007812,1.000000,0.000000,0.000062,2.713325,2.740097,2.686552,0.500000,4.582480,0.032627,0.354306,1.221180,0.056433,2.182245,1.129464,9.585253,0.000055,,
10,2690.301116,0.029870,0.000184,35.101962,0.039062,1.000000,0.000000,0.000085,2.711248,2.713294,2.709202,0.500000,4.675420,0.032660,0.350481,1.223791,0.057042,2.181039,1.128862,9.676240,0.000055,,
11,2730.677220,0.099026,0.007094,35.237612,0.023438,1.000000,0.000000,0.000055,2.714012,2.717993,2.710030,0.500000,4.556323,0.032739,0.352200,1.218787,0.057827,2.187316,1.142409,9.574365,0.000051,,
12,2772.263630,0.024936,-0.000949,35.237612,0.039062,1.000000,0.000000,0.000047,2.739099,2.741238,2.736960,0.500000,4.589718,0.033007,0.353944,1.219185,0.057028,2.186226,1.132819,9.598474,0.000061,,
13,2748.293742,0.050981,-0.006191,35.237612,0.015625,1.000000,0.000000,0.000078,2.739065,2.783552,2.694577,0.500000,4.623831,0.032965,0.355088,1.220933,0.057675,2.184286,1.157381,9.659084,0.000054,,
14,2740.551579,0.030771,-0.003423,35.237612,0.000000,0.000000,0.000000,0.000059,2.738049,2.786727,2.689370,0.500000,4.647175,0.032823,0.353584,1.220661,0.056256,2.191097,1.140104,9.668674,0.000060,,
15,2807.438994,0.019710,-0.000868,35.472589,0.007812,1.000000,0.000000,0.000067,2.783505,2.817034,2.749976,0.500000,4.675407,0.033243,0.361215,1.224228,0.057400,2.188311,1.149054,9.715438,0.000052,,
16,2811.056769,0.015923,-0.000688,35.472589,0.046875,1.000000,0.000000,0.000059,2.767303,2.808656,2.725949,0.500000,4.610115,0.033576,0.359631,1.220149,0.056837,2.190221,1.145463,9.642459,0.000071,,
17,2812.146742,0.014088,-0.000203,35.472589,0.039062,1.000000,0.000000,0.000053,2.772589,2.812484,2.732694,0.500000,4.634990,0.033485,0.360157,1.223042,0.056563,2.188766,1.153084,9.676771,0.000062,,
18,2712.244681,0.010215,-0.000291,35.472589,0.039062,1.000000,0.000000,0.000068,2.723979,2.800694,2.647264,0.500000,4.648903,0.032666,0.350609,1.216631,0.056834,2.184946,1.120169,9.637958,0.000056,,
19,2733.811993,0.013447,0.001341,35.472589,0.039062,1.000000,0.000000,0.000095,2.721364,2.774920,2.667808,0.500000,4.591862,0.032944,0.351408,1.214642,0.056039,2.183074,1.145325,9.601611,0.000060,,
20,2714.926343,0.009870,-0.001177,35.472589,0.046875,1.000000,0.000000,0.000050,2.717352,2.774902,2.659803,0.500000,4.575662,0.032856,0.364296,1.218803,0.057686,2.184171,1.124266,9.584054,0.000056,20.805485,
21,2927.621429,0.008471,0.001948,35.472589,0.046875,1.000000,0.000000,0.000067,2.783198,2.791108,2.775288,0.500000,4.121736,0.038466,0.363986,1.222354,0.089694,2.193866,1.144207,9.219942,0.000054,,
22,2685.646940,0.006859,-0.000741,35.472589,0.054688,1.000000,0.000000,0.000064,2.710845,2.740182,2.681508,0.500000,4.602146,0.033074,0.348319,1.217473,0.059780,2.191210,1.134234,9.613512,0.000072,,
23,2723.617052,0.007926,0.000909,35.472589,0.046875,1.000000,0.000000,0.000070,2.741723,2.756958,2.726488,0.500000,4.621669,0.038375,0.354063,1.221105,0.086147,2.199498,1.142295,9.707128,0.000051,,
24,2814.076787,0.007038,-0.005510,35.472589,0.078125,1.000000,0.000000,0.000065,2.794307,2.799490,2.789124,0.500000,4.651977,0.039071,0.361952,1.219761,0.087545,2.186814,1.158145,9.750622,0.000072,,
25,2660.633144,0.014233,-0.002834,35.472589,0.078125,1.000000,0.000000,0.000076,2.685832,2.755089,2.616575,0.500000,4.606697,0.033046,0.346888,1.220174,0.057700,2.182490,1.124580,9.598655,0.000059,,
26,2749.373925,0.010129,-0.009812,35.472589,0.117188,1.000000,0.000000,0.000077,2.747146,2.799620,2.694671,0.500000,4.638808,0.038694,0.358131,1.219455,0.085879,2.185567,1.139184,9.700390,0.000059,,
27,2748.866744,0.004775,-0.008380,35.472589,0.101562,1.000000,0.000000,0.000048,2.757712,2.783442,2.731982,0.500000,4.643252,0.033401,0.355421,1.217840,0.086397,2.185901,1.145292,9.694541,0.000059,,
28,2724.298236,0.004020,-0.001767,35.472589,0.093750,1.000000,0.000000,0.000061,2.721256,2.734044,2.708469,0.500000,4.598856,0.033153,0.351424,1.217744,0.057629,2.187671,1.140135,9.613668,0.000055,,
29,2701.087205,0.006514,-0.006076,35.472589,0.085938,1.000000,0.000000,0.000057,2.706514,2.771489,2.641539,0.500000,4.608933,0.033573,0.350208,1.219087,0.056984,2.184578,1.158846,9.639822,0.000058,,
30,2687.500223,0.005448,-0.002462,35.472589,0.125000,1.000000,0.000000,0.000051,2.705543,2.728697,2.682389,0.500000,4.600311,0.033081,0.346860,1.217918,0.056430,2.183092,1.120993,9.585674,0.000060,,
31,2722.544405,0.011937,-0.001848,35.472589,0.148438,1.000000,0.000000,0.000050,2.711162,2.717921,2.704403,0.500000,4.573370,0.033568,0.351953,1.223402,0.057136,2.185355,1.140385,9.591946,0.000053,,
32,2657.211172,0.010749,-0.006464,35.472589,0.187500,1.000000,0.000000,0.000057,2.690561,2.741228,2.639895,0.500000,4.606031,0.032851,0.347233,1.223277,0.056982,2.188640,1.134286,9.615721,0.000053,,
33,2710.155393,0.005895,-0.005962,35.472589,0.164062,1.000000,0.000000,0.000054,2.712720,2.761479,2.663961,0.500000,4.623902,0.032946,0.351579,1.224830,0.057591,2.187644,1.134349,9.639484,0.000052,,
34,2611.297010,0.006216,-0.011137,35.472589,0.195312,1.000000,0.000000,0.000073,2.673687,2.680180,2.667193,0.500000,4.539977,0.037956,0.343557,1.220005,0.086088,2.183373,1.136255,9.592168,0.000060,,
35,2357.494225,0.010313,-0.004134,35.472589,0.218750,1.000000,0.000000,0.000055,2.468567,2.585034,2.352100,0.500000,4.418619,0.036358,0.304061,1.221520,0.085152,2.179281,1.096036,9.383692,0.000067,,
