step,perf/throughput,critic/vf_loss,actor/pg_loss,perf/max_memory_allocated_gb,critic/rewards/mean,critic/rewards/max,critic/rewards/min,timing_s/start_profile,timing_s/generate_sequences,timing_s/generation_timing/max,timing_s/generation_timing/min,timing_s/generation_timing/topk_ratio,timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/values,timing_s/adv,timing_s/update_critic,timing_s/update_actor,timing_s/step,timing_s/stop_profile,timing_s/testing,timing_s/save_checkpoint
1,2796.793558,0.502520,0.001795,36.802866,0.000000,0.000000,0.000000,0.000282,2.753053,2.760428,2.745678,0.500000,4.089510,0.036150,0.631244,1.224714,0.066803,2.259701,1.136762,9.474421,0.000080,,
2,2664.632593,0.417359,0.000465,36.802866,0.015625,1.000000,0.000000,0.000047,2.674788,2.701741,2.647835,0.500000,4.532629,0.032272,0.342134,1.221804,0.058962,2.154450,1.117387,9.487049,0.000060,,
3,2653.829485,1.285217,0.008219,36.802866,0.007812,1.000000,0.000000,0.000056,2.690388,2.730224,2.650553,0.500000,4.597769,0.032194,0.349630,1.220624,0.056847,2.185232,1.131245,9.601220,0.000056,,
4,2672.583304,0.484790,0.001639,36.802866,0.007812,1.000000,0.000000,0.000064,2.686272,2.730234,2.642310,0.500000,4.582908,0.032165,0.344544,1.221024,0.056731,2.186497,1.113304,9.563780,0.000053,,
5,2443.293711,0.154708,-0.000242,36.802866,0.007812,1.000000,0.000000,0.000054,2.615078,2.638605,2.591552,0.500000,4.481847,0.040702,0.341391,1.501573,0.090760,2.234362,1.171676,9.906300,0.000052,,
6,2632.684193,0.115522,-0.001066,37.372105,0.015625,1.000000,0.000000,0.000054,2.855404,2.899618,2.811190,0.500000,4.754770,0.040826,0.371893,1.499388,0.058553,2.259676,1.232506,10.261960,0.000055,,
7,2553.183826,0.079048,-0.001040,37.372105,0.015625,1.000000,0.000000,0.000070,2.801957,2.838624,2.765290,0.500000,4.688110,0.032195,0.358269,1.498912,0.058633,2.256372,1.215371,10.133818,0.000067,,
8,2494.803119,0.063255,-0.002856,37.372105,0.015625,1.000000,0.000000,0.000056,2.790600,2.934388,2.646812,0.500000,4.784905,0.032044,0.359229,1.497671,0.056211,2.358291,1.229493,10.344504,0.000052,,
9,2438.985201,0.047028,-0.000432,37.372105,0.023438,1.000000,0.000000,0.000068,2.736292,2.896921,2.575663,0.500000,4.753582,0.031753,0.342783,1.497323,0.055778,2.246043,1.114930,10.068532,0.000053,,
10,2768.523807,0.035771,-0.002676,37.372105,0.031250,1.000000,0.000000,0.000058,2.749206,2.755134,2.743278,0.500000,4.614805,0.032974,0.357732,1.223201,0.056733,2.180557,1.149561,9.641600,0.000053,,
11,2632.511849,0.025570,0.000791,37.372105,0.031250,1.000000,0.000000,0.000063,2.666659,2.703353,2.629964,0.500000,4.569538,0.036880,0.359283,1.219192,0.056743,2.178446,1.119056,9.583053,0.000059,,
12,2635.114275,0.019104,0.002556,37.372105,0.023438,1.000000,0.000000,0.000068,2.667129,2.717669,2.616590,0.500000,4.617662,0.032186,0.342669,1.220630,0.056445,2.177890,1.119587,9.594271,0.000053,,
13,2658.295836,0.014992,-0.001514,37.372105,0.007812,1.000000,0.000000,0.000056,2.673899,2.682458,2.665339,0.500000,4.547249,0.031582,0.344605,1.218893,0.057690,2.182982,1.120416,9.529413,0.000053,,
14,2726.035571,0.027389,-0.002608,37.372105,0.031250,1.000000,0.000000,0.000068,2.712622,2.727080,2.698165,0.500000,4.592360,0.032467,0.349750,1.218638,0.056461,2.182209,1.093153,9.551049,0.000053,,
15,2688.768403,0.008254,-0.000722,37.372105,0.054688,1.000000,0.000000,0.000083,2.691489,2.701622,2.681355,0.500000,4.567585,0.031854,0.347438,1.218870,0.056226,2.151893,1.133913,9.533733,0.000053,,
16,2622.676536,0.007782,0.005399,37.372105,0.000000,0.000000,0.000000,0.000066,2.650131,2.703667,2.596595,0.500000,4.569690,0.031948,0.350172,1.222470,0.056585,2.179984,1.115312,9.552455,0.000052,,
17,2661.766090,0.006419,0.000846,37.372105,0.054688,1.000000,0.000000,0.000072,2.683728,2.714795,2.652661,0.500000,4.675007,0.031753,0.347761,1.221631,0.056218,2.180221,1.124099,9.663321,0.000060,,
18,2627.818760,0.005344,-0.007581,37.372105,0.054688,1.000000,0.000000,0.000054,2.672731,2.710251,2.635211,0.500000,4.579357,0.031336,0.340681,1.217968,0.056027,2.181939,1.108169,9.541754,0.000052,,
