step,perf/throughput,critic/vf_loss,actor/pg_loss,perf/max_memory_allocated_gb,critic/rewards/mean,critic/rewards/max,critic/rewards/min,timing_s/start_profile,timing_s/generate_sequences,timing_s/generation_timing/max,timing_s/generation_timing/min,timing_s/generation_timing/topk_ratio,timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/values,timing_s/adv,timing_s/update_critic,timing_s/update_actor,timing_s/step,timing_s/stop_profile,timing_s/testing,timing_s/save_checkpoint
1,2762.983453,0.562753,0.000206,28.268122,0.000000,0.000000,0.000000,0.000292,2.742313,2.745957,2.738669,0.500000,4.202033,0.035404,0.657180,1.229569,0.065426,2.249730,1.121878,9.590358,0.000056,,
2,2616.540147,0.452403,0.000076,29.374687,0.007812,1.000000,0.000000,0.000062,2.632971,2.637606,2.628335,0.500000,4.541660,0.032503,0.329767,1.231559,0.059989,2.136793,1.035748,9.394658,0.000052,,
3,2649.754933,0.232877,-0.001031,29.876005,0.007812,1.000000,0.000000,0.000059,2.660615,2.723783,2.597446,0.500000,4.569181,0.033160,0.345520,1.226633,0.058015,2.157785,1.071550,9.488236,0.000089,,
4,2553.606364,0.264235,-0.000600,29.876005,0.015625,1.000000,0.000000,0.000062,2.677933,2.693188,2.662679,0.500000,4.637253,0.032448,0.343624,1.496724,0.059067,2.204932,1.127089,9.927333,0.000056,,
5,2610.116165,0.130433,-0.000872,29.876005,0.007812,1.000000,0.000000,0.000073,2.633362,2.664562,2.602163,0.500000,4.517977,0.036471,0.334886,1.223280,0.083421,2.156564,1.056939,9.452644,0.000052,,
6,2723.618415,0.148993,-0.002447,30.345902,0.039062,1.000000,0.000000,0.000061,2.697718,2.722661,2.672775,0.500000,4.576556,0.041027,0.349994,1.228110,0.092661,2.153943,1.097371,9.586695,0.000050,,
7,2653.818373,0.114016,-0.003776,30.345902,0.023438,1.000000,0.000000,0.000048,2.653452,2.685457,2.621449,0.500000,4.514968,0.033129,0.340720,1.233132,0.060165,2.158625,1.080268,9.447331,0.000050,,
8,2691.516545,0.065647,-0.000400,30.345902,0.015625,1.000000,0.000000,0.000052,2.662307,2.693675,2.630940,0.500000,4.548863,0.033377,0.349354,1.229582,0.084576,2.156419,1.079154,9.507837,0.000058,,
9,2540.654241,0.050409,0.003819,30.345902,0.007812,1.000000,0.000000,0.000072,2.590171,2.647495,2.532848,0.500000,4.483105,0.036095,0.326350,1.225091,0.086528,2.154490,1.045151,9.400138,0.000058,,
10,2726.847960,0.060890,-0.001057,30.365280,0.023438,1.000000,0.000000,0.000057,2.686612,2.714453,2.658770,0.500000,4.535505,0.033781,0.350271,1.225586,0.084497,2.152485,1.106137,9.514465,0.000052,,
11,2611.618929,0.070899,-0.005881,30.365280,0.031250,1.000000,0.000000,0.000057,2.624217,2.631940,2.616495,0.500000,4.484997,0.036429,0.332291,1.225733,0.084569,2.152442,1.065145,9.424040,0.000060,,
12,2670.912208,0.032798,-0.000961,30.365280,0.039062,1.000000,0.000000,0.000069,2.663268,2.730449,2.596087,0.500000,4.568961,0.036991,0.343114,1.243893,0.083887,2.155121,1.064918,9.539063,0.000060,,
13,2575.792933,0.023244,0.001277,30.365280,0.015625,1.000000,0.000000,0.000061,2.600284,2.627171,2.573398,0.500000,4.481328,0.035724,0.328366,1.244404,0.083823,2.156194,1.040679,9.413412,0.000050,,
14,2641.328755,0.017009,-0.002140,30.365280,0.031250,1.000000,0.000000,0.000058,2.656814,2.695098,2.618531,0.500000,4.538967,0.036652,0.342022,1.239803,0.084540,2.157432,1.062952,9.504686,0.000076,,
